month,AggLiq,LiqInno,LiqTrad
2019-07-01,0.07273926,0.07326190,-0.00176625
2019-08-01,0.04596394,0.02174072,-0.00873951
2019-09-01,-0.04788248,-0.02278880,-0.05148881
2019-10-01,-0.06800208,0.00210477,0.00933833
2019-11-01,-0.04571975,0.03898775,0.02373162
2019-12-01,-0.01961180,0.02145508,0.00036564
2020-01-01,-0.04085796,-0.01454809,0.01856556
2020-02-01,0.00581872,0.02399170,0.04195985
2020-03-01,-0.26041854,-0.16436693,-0.10338117
2020-04-01,0.01144381,-0.02282219,0.11751523
2020-05-01,-0.05607426,-0.07001781,0.07138669
2020-06-01,-0.01502376,0.01958538,0.06205849
2020-07-01,0.03447948,0.07278231,0.00149768
2020-08-01,0.00580830,-0.01279468,0.04354523
2020-09-01,-0.09954219,-0.12016043,-0.00472362
2020-10-01,-0.04311526,0.03249982,0.04056653
2020-11-01,0.05375725,0.06556584,0.02262458
2020-12-01,0.02488288,0.01244129,0.05047929
2021-01-01,0.10624166,0.06178659,-0.04853912
2021-02-01,-0.02973247,-0.04833531,0.01998460
2021-03-01,-0.07658205,-0.00938450,-0.07243633
2021-04-01,-0.04645184,-0.02802147,0.00114264
2021-05-01,-0.05370994,-0.01026876,-0.03112707
2021-06-01,-0.03633265,0.00424908,0.03774234
2021-07-01,0.00584988,0.03855770,-0.00070313
2021-08-01,0.01155584,0.03142486,0.00290839
2021-09-01,-0.01745475,-0.00571759,-0.01045792
2021-10-01,-0.00538852,-0.00607972,0.01594697
2021-11-01,0.01398488,0.03127878,-0.02440641
2021-12-01,0.06036660,0.07120965,-0.02381502
2022-01-01,-0.05794136,-0.04679755,-0.05411585
2022-02-01,-0.08858936,-0.07021552,0.00843478
2022-03-01,-0.07621055,-0.02442803,-0.02122165
2022-04-01,-0.16414551,-0.13665935,-0.03425109
2022-05-01,-0.02372926,0.03228561,-0.06681909
2022-06-01,-0.02496714,0.08110573,0.03764318
2022-07-01,0.00896067,0.07619305,0.00583969
2022-08-01,0.01625096,0.01982401,0.01254026
2022-09-01,-0.01031641,-0.01397946,0.05629846
2022-10-01,-0.02161225,-0.00417963,-0.09013203
2022-11-01,0.01290549,0.01075207,-0.05291579
2022-12-01,0.01930115,0.04253225,-0.01863631
2023-01-01,0.01333923,0.04739246,-0.03330664
2023-02-01,0.00488143,0.03852404,0.00465112
2023-03-01,-0.01143341,0.00562069,0.06794813
2023-04-01,-0.15161072,-0.13210000,0.00609672
2023-05-01,-0.07943237,-0.00104040,0.03855023
2023-06-01,-0.04560138,0.01996221,-0.06706213
2023-07-01,0.03158360,0.05313238,-0.03521294
2023-08-01,-0.02219315,-0.01384346,-0.04206628
2023-09-01,-0.06412711,-0.03281943,-0.04053745
2023-10-01,0.16340711,0.17621454,0.00078403
2023-11-01,0.01836070,-0.10736516,0.05513213
2023-12-01,-0.09925067,-0.12738569,0.03728561
